conversation_id,n_comments,s80,s90
9bytc6,44,0.5909090909090909,0.7954545454545454
9bz1j5,46,0.5869565217391305,0.782608695652174
9bzcrq,30,0.7,0.8666666666666667
9bzfjx,20,0.7,0.85
9bzh9g,42,0.7142857142857143,0.8571428571428571
9bziir,53,0.660377358490566,0.8490566037735849
9bzn13,25,0.72,0.88
9bzsuz,28,0.6785714285714286,0.8571428571428571
9bzvz0,58,0.6206896551724138,0.7758620689655172
9bzw6p,147,0.5986394557823129,0.7959183673469388
9c013p,32,0.59375,0.8125
9c0457,73,0.6438356164383562,0.8082191780821918
9c04m2,20,0.65,0.85
9c0gp0,28,0.6428571428571429,0.8214285714285714
9c0knf,56,0.5535714285714286,0.7678571428571429
9c0l4j,67,0.6865671641791045,0.8507462686567164
9c0qeh,30,0.7,0.8666666666666667
9c0vap,25,0.56,0.8
9c0x24,20,0.7,0.85
9c138o,167,0.6167664670658682,0.7844311377245509
9c13pc,41,0.5853658536585366,0.8048780487804879
9c16ez,87,0.6206896551724138,0.8275862068965517
9c1ck9,29,0.7241379310344828,0.8620689655172413
9c1dmr,28,0.7142857142857143,0.8571428571428571
9c1gfa,102,0.6176470588235294,0.7843137254901961
9c1gyv,33,0.6666666666666666,0.8484848484848485
9c1if6,58,0.6724137931034483,0.8103448275862069
9c1lfb,27,0.6296296296296297,0.8148148148148148
9c1t30,258,0.6395348837209303,0.813953488372093
9c1u7t,66,0.6363636363636364,0.8181818181818182
9c1uek,55,0.5818181818181818,0.7818181818181819
9c1w4r,20,0.5,0.75
9c1zba,30,0.6666666666666666,0.8
9c1zlf,20,0.7,0.85
9c243v,29,0.5862068965517241,0.7586206896551724
9c25cz,38,0.6052631578947368,0.8157894736842105
9c265i,23,0.6521739130434783,0.8260869565217391
9c2gfw,33,0.6363636363636364,0.8181818181818182
9c2k0h,45,0.6444444444444445,0.8222222222222222
9c2km8,52,0.6153846153846154,0.7884615384615384
9c2m70,130,0.6307692307692307,0.8153846153846154
9c2ptd,109,0.5412844036697247,0.7522935779816514
9c2qhd,314,0.5573248407643312,0.7707006369426752
9c2t1a,87,0.632183908045977,0.7931034482758621
9c2v22,26,0.6538461538461539,0.8461538461538461
9c2xn1,22,0.7272727272727273,0.8636363636363636
9c2y0m,61,0.6229508196721312,0.8032786885245902
9c2yv5,22,0.5909090909090909,0.8181818181818182
9c30cy,20,0.7,0.9
9c33l3,76,0.618421052631579,0.8157894736842105
9c343o,65,0.5538461538461539,0.8461538461538461
9c34vc,22,0.6818181818181818,0.8181818181818182
9c377d,117,0.6324786324786325,0.811965811965812
9c3brr,63,0.6190476190476191,0.8095238095238095
9c3cxb,102,0.6078431372549019,0.7941176470588235
9c3eav,29,0.5517241379310345,0.7586206896551724
